,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time
189,trainjob-31e320d0-9d7b-45c1-9c44-a64a28ffd384-master-0   1/1     Running           0          6s,2,1125m,0.01,128,1,,89.48886942863464
190,trainjob-fd199d84-14d9-45a2-abfa-21b87a82286a-master-0   1/1     Running   0          8s,2,1125m,0.01,128,2,,86.60880589485168
191,trainjob-c19621e6-4a86-4893-ab8c-287d0ec0b71a-master-0   1/1     Running   0          8s,2,1125m,0.01,128,3,,90.04167675971985
192,trainjob-c9c723b3-f304-4340-a8ed-f8e3bc66c56c-master-0   1/1     Running           0          7s,2,1125m,0.01,256,1,,81.99698281288147
193,trainjob-552883b6-55eb-4f0b-9152-b2596534239c-master-0   1/1     Running   0          6s,2,1125m,0.01,256,2,,81.60692620277405
194,trainjob-5f827716-32cd-47fe-825f-66c822861c76-master-0   1/1     Running   0          5s,2,1125m,0.01,256,3,,81.68245458602905
195,trainjob-85eb1f3a-a20a-4573-bc9f-a511e05ddb94-master-0   1/1     Running           0          6s,2,1125m,0.01,512,1,,79.71728324890137
196,trainjob-f98f1722-7529-4e91-9802-57c729d050b6-master-0   1/1     Running   0          7s,2,1125m,0.01,512,2,,84.39486336708069
197,trainjob-95b9b519-671c-4ea2-af29-511275704475-master-0   1/1     Running   0          5s,2,1125m,0.01,512,3,,85.30578899383545
198,trainjob-c61a3d87-e1f7-4529-815f-cf046d6ddb1f-master-0   1/1     Running    0          6s,2,1125m,0.02,128,1,,85.6940405368805
199,trainjob-19970750-9849-4b4e-b486-c54161dc782c-master-0   1/1     Running   0          6s,2,1125m,0.02,128,2,,89.21163415908813
200,trainjob-5c873b23-4b43-43fe-ab01-0f30c2bec607-master-0   1/1     Running   0          6s,2,1125m,0.02,128,3,,84.68655395507812
201,trainjob-8ef23d44-dfa0-4cc9-a793-ac9e5936b3cf-master-0   1/1     Running           0          6s,2,1125m,0.02,256,1,,82.91972708702087
202,trainjob-4e61ae2e-c078-489b-8091-2c921483b111-master-0   1/1     Running           0          6s,2,1125m,0.02,256,2,,82.61764240264893
203,trainjob-511a62dc-1086-4aea-89dc-32cc7e30560a-master-0   1/1     Running   0          5s,2,1125m,0.02,256,3,,82.38996481895447
204,trainjob-5250bb41-3e3d-4d55-bce6-b5cd18c547bf-master-0   1/1     Running           0          6s,2,1125m,0.02,512,1,,81.69665670394897
205,trainjob-69c25979-fe7e-41fe-a4e0-debd42bd2700-master-0   1/1     Running   0          6s,2,1125m,0.02,512,2,,85.57647967338562
206,trainjob-d5b9a9c3-1bf8-428b-bdfc-c19618c658c5-master-0   1/1     Running   0          5s,2,1125m,0.02,512,3,,77.11218214035034
207,trainjob-494f3960-83d1-4f0e-bbaa-d6d4a63cc6b4-master-0   1/1     Running   0          8s,2,1125m,0.04,128,1,,84.52058434486389
208,trainjob-91e004d6-b625-4383-b790-f815ac1eea64-master-0   1/1     Running   0          5s,2,1125m,0.04,128,2,,83.56657791137695
209,trainjob-f44893e7-c955-409f-af4e-f50af5c49494-master-0   1/1     Running   0          5s,2,1125m,0.04,128,3,,85.59853386878967
210,trainjob-ffe6f2a8-875c-4a56-a648-4c548b8791b8-master-0   1/1     Running           0          6s,2,1125m,0.04,256,1,,81.2277979850769
211,trainjob-47856431-78dc-48fb-833e-7961dea83935-master-0   1/1     Running    0          5s,2,1125m,0.04,256,2,,81.68900179862976
212,trainjob-b629d783-57bc-462e-8e7d-1f2f0860c04a-master-0   1/1     Running   0          6s,2,1125m,0.04,256,3,,79.18889808654785
213,trainjob-1916ad3e-4f22-42df-b7f3-6fcf1f51aacf-master-0   1/1     Running           0          6s,2,1125m,0.04,512,1,,83.82314991950989
214,trainjob-218c34e6-125d-4bd8-8f41-6a939f9cc0bb-master-0   1/1     Running    0          5s,2,1125m,0.04,512,2,,85.29829239845276
215,trainjob-da59a018-ad96-43cd-bdfb-0c061c79f23d-master-0   1/1     Running   0          6s,2,1125m,0.04,512,3,,80.50091862678528
216,trainjob-9f77ed16-11b6-4ee5-8c0d-36b009f72ff7-master-0   1/1     Running   0          8s,2,1000m,0.01,128,1,,97.41457724571228
217,trainjob-87611e36-90c2-4dc8-83a6-27c22dd09d05-master-0   1/1     Running   0          5s,2,1000m,0.01,128,2,,102.11124110221863
218,trainjob-97fdc55f-022d-4dbd-8831-4cd67967db25-master-0   1/1     Running   0          5s,2,1000m,0.01,128,3,,96.7088942527771
219,trainjob-948f179d-2176-47b7-8a17-9010e427ff54-master-0   1/1     Running           0          7s,2,1000m,0.01,256,1,,92.76016855239868
220,trainjob-cfb6debd-d5cd-4c37-86b0-c380130da06c-master-0   1/1     Running   0          8s,2,1000m,0.01,256,2,,91.69995594024658
221,trainjob-3e0f7248-ebac-481f-97e4-5b3a26f7a6f8-master-0   1/1     Running   0          6s,2,1000m,0.01,256,3,,92.87306809425354
222,trainjob-b5b07586-f9fa-4bfd-a5d2-4b0c98651e4b-master-0   1/1     Running           0          6s,2,1000m,0.01,512,1,,94.11731243133545
223,trainjob-3db5ac9c-2dc6-4d6f-904a-dd22f400442a-master-0   1/1     Running    0          5s,2,1000m,0.01,512,2,,96.99268507957458
224,trainjob-dc6623a9-b641-4284-9485-c3112ef9ae23-master-0   1/1     Running   0          5s,2,1000m,0.01,512,3,,97.98774766921997
225,trainjob-385ff6c4-766f-466d-b4b5-2160dab95c4c-master-0   1/1     Running           0          5s,2,1000m,0.02,128,1,,98.19736933708191
226,trainjob-d9ed9a8b-c506-4ea3-88bc-afbe81d0d097-master-0   1/1     Running   0          6s,2,1000m,0.02,128,2,,96.41748571395874
227,trainjob-b7d67c70-6db3-43e1-90c2-c01ba46b1077-master-0   1/1     Running    0          5s,2,1000m,0.02,128,3,,100.6351408958435
228,trainjob-9f503d7a-76d0-44d3-952e-e5e0b3e1e73e-master-0   1/1     Running           0          6s,2,1000m,0.02,256,1,,91.82965922355652
229,trainjob-522dd81d-4e0c-41f0-ba54-5e03ee0eeceb-master-0   1/1     Running   0          7s,2,1000m,0.02,256,2,,93.49838638305664
230,trainjob-3a8c4bf1-66d2-4a55-ae35-ee8d68364df4-master-0   1/1     Running   0          5s,2,1000m,0.02,256,3,,93.2064266204834
231,trainjob-563bb293-9715-4778-9ef5-9d4c5ae9082f-master-0   1/1     Running           0          6s,2,1000m,0.02,512,1,,91.589120388031
232,trainjob-95f2d539-a111-4b37-9ec3-6a18ec59b5f5-master-0   1/1     Running   0          8s,2,1000m,0.02,512,2,,96.8925404548645
233,trainjob-4e3e1647-363b-4762-a561-f6b5f15831bb-master-0   1/1     Running   0          6s,2,1000m,0.02,512,3,,91.75829720497131
234,trainjob-a4c48db8-750b-41d5-b346-1bb7125da409-master-0   1/1     Running           0          7s,2,1000m,0.04,128,1,,99.2210693359375
235,trainjob-6104cda5-0ade-4d3d-8c08-2124101697d3-master-0   1/1     Running   0          6s,2,1000m,0.04,128,2,,96.00268769264221
236,trainjob-3c89c1d1-1eec-40eb-a164-155dad59f00f-master-0   1/1     Running   0          5s,2,1000m,0.04,128,3,,95.09561109542847
237,trainjob-97ccba68-2636-4040-8ec0-24616ea05b5c-master-0   1/1     Running   0          8s,2,1000m,0.04,256,1,,92.66398668289185
238,trainjob-a30eda06-17c3-4eb1-a1a1-013ed8554d43-master-0   1/1     Running           0          7s,2,1000m,0.04,256,2,,92.59278750419617
239,trainjob-e33442b2-a65f-4469-a458-dbff8533031c-master-0   1/1     Running    0          5s,2,1000m,0.04,256,3,,90.8226146697998
240,trainjob-3e170dd7-5f39-4166-9eea-277a206501d3-master-0   1/1     Running           0          6s,2,1000m,0.04,512,1,,89.66618347167969
241,trainjob-4d388c47-7716-4556-8b72-27a578bab68b-master-0   1/1     Running           0          7s,2,1000m,0.04,512,2,,94.71944975852966
242,trainjob-95c3a0c7-5687-461f-9e35-9276734a70fc-master-0   1/1     Running   0          5s,2,1000m,0.04,512,3,,96.30404043197632
243,trainjob-6044083f-0d6d-406d-9d5e-4457673710fc-master-0   1/1     Running   0          6s,1,1250m,0.01,128,1,,153.6200771331787
244,trainjob-7d02940a-2f7d-4532-ad0e-06defc8a4ed0-master-0   1/1     Running   0          8s,1,1250m,0.01,128,2,,146.7651662826538
245,trainjob-42b603b7-5099-460c-bbb6-640161894460-master-0   1/1     Running   0          5s,1,1250m,0.01,128,3,,149.4444694519043
246,trainjob-017574fc-2634-4bc5-a787-2d8dda381825-master-0   1/1     Running   0          6s,1,1250m,0.01,256,1,,142.9094021320343
247,trainjob-89c61462-f798-44e5-ba3b-ae2ade184d49-master-0   1/1     Running   0          7s,1,1250m,0.01,256,2,,143.79646587371826
248,trainjob-91ae7359-edf2-4345-9289-8659427eb837-master-0   1/1     Running   0          5s,1,1250m,0.01,256,3,,142.58513164520264
249,trainjob-15d2b5b0-2042-4b35-ae1c-0272e2c34a2c-master-0   1/1     Running   0          8s,1,1250m,0.01,512,1,,135.55773186683655
250,trainjob-c1685f83-3f76-4f04-b7b4-bb4539c7ad6d-master-0   1/1     Running   0          5s,1,1250m,0.01,512,2,,140.52515578269958
251,trainjob-05b6d9e3-5161-42b0-9d62-f38b61a9ccbd-master-0   1/1     Running   0          5s,1,1250m,0.01,512,3,,136.4914116859436
252,trainjob-13c416bf-9408-461e-ac3b-d0962bc60ec0-master-0   1/1     Running   0          6s,1,1250m,0.02,128,1,,156.0494258403778
253,trainjob-168114f0-6a30-4db7-9308-2cceb69afdf5-master-0   1/1     Running   0          6s,1,1250m,0.02,128,2,,151.01452445983887
254,trainjob-6f88ec50-30e1-48e0-b4fb-b83934aff781-master-0   1/1     Running   0          7s,1,1250m,0.02,128,3,,147.91498589515686
255,trainjob-af6c9102-2e04-484c-9dc8-5833a8dfd853-master-0   1/1     Running   0          7s,1,1250m,0.02,256,1,,136.9503664970398
256,trainjob-f737c159-6c55-4530-8a9e-b83ba0e381d1-master-0   1/1     Running   0          7s,1,1250m,0.02,256,2,,142.31563782691956
257,trainjob-1b33a0ef-e633-4433-a913-f189e0eb7b6f-master-0   1/1     Running   0          8s,1,1250m,0.02,256,3,,146.2746353149414
258,trainjob-9fe7eadb-45d3-42df-9ed7-6c63247e50be-master-0   1/1     Running   0          6s,1,1250m,0.02,512,1,,142.6259036064148
259,trainjob-8ea8fbb8-0dad-4257-b8ff-4c9f982d535b-master-0   1/1     Running   0          9s,1,1250m,0.02,512,2,,150.56710529327393
260,trainjob-7b408d08-0173-47d1-9f86-60519e2c449d-master-0   1/1     Running   0          7s,1,1250m,0.02,512,3,,149.44814324378967
261,trainjob-a0708bd7-2287-49d0-bda6-eba6257896e6-master-0   1/1     Running   0          8s,1,1250m,0.04,128,1,,144.99309253692627
262,trainjob-a2ccb962-b16b-46bd-8d21-31f199deedc9-master-0   1/1     Running   0          6s,1,1250m,0.04,128,2,,159.23560690879822
263,trainjob-991ceba7-4e73-4293-b67d-ba0a8d851b7b-master-0   1/1     Running   0          5s,1,1250m,0.04,128,3,,151.30897068977356
264,trainjob-73e0532f-a79a-4196-9556-b69c3ac53a8d-master-0   1/1     Running   0          6s,1,1250m,0.04,256,1,,141.5111780166626
265,trainjob-ddc09bca-4e05-4b1e-b6c5-f83254de8ef6-master-0   1/1     Running   0          5s,1,1250m,0.04,256,2,,142.40465807914734
266,trainjob-7098aadc-bcd9-4910-9242-3b61da25fbf7-master-0   1/1     Running   0          8s,1,1250m,0.04,256,3,,139.9982659816742
267,trainjob-6684af52-e2ba-4829-8a6d-af60d891358a-master-0   1/1     Running   0          8s,1,1250m,0.04,512,1,,141.50794529914856
268,trainjob-f21f2f1c-5500-4883-8863-02dfc4528cce-master-0   1/1     Running   0          6s,1,1250m,0.04,512,2,,143.28427386283875
269,trainjob-757d6814-a3d8-45da-bd0b-5641af531684-master-0   1/1     Running   0          5s,1,1250m,0.04,512,3,,135.8110067844391
270,trainjob-e63d63c8-14ba-48c6-9d0f-fe2d8805de6d-master-0   1/1     Running   0          8s,1,1125m,0.01,128,1,,169.20586347579956
271,trainjob-0bd10ea3-5c97-440f-9801-ad16421ef1c9-master-0   1/1     Running   0          5s,1,1125m,0.01,128,2,,174.00135946273804
272,trainjob-44c34175-f96a-41f3-83b2-bcd1480a64d1-master-0   1/1     Running   0          5s,1,1125m,0.01,128,3,,227.41892433166504
273,trainjob-382b74f7-a1a0-464d-ba3c-95998af57b81-master-0   1/1     Running   0          6s,1,1125m,0.01,256,1,,161.29087042808533
274,trainjob-489ba861-fdc3-4b0e-8220-d13402b8f36e-master-0   1/1     Running   0          7s,1,1125m,0.01,256,2,,158.59201860427856
275,trainjob-2f50619b-ff24-4eb9-8f0b-3ae7ce31f64f-master-0   1/1     Running   0          6s,1,1125m,0.01,256,3,,156.2785782814026
276,trainjob-102fcb59-9722-4dc3-83cd-058afb3e9a43-master-0   1/1     Running   0          5s,1,1125m,0.01,512,1,,157.30038976669312
277,trainjob-d7ef2499-e995-4ae8-b2f4-81794990c06b-master-0   1/1     Running   0          7s,1,1125m,0.01,512,2,,156.56735157966614
278,trainjob-4f513e94-3f50-45e4-82d1-d1beaa129d98-master-0   1/1     Running   0          7s,1,1125m,0.01,512,3,,157.61109948158264
279,trainjob-3b092e2e-ddd8-4943-b192-e7f1a76bd3d1-master-0   1/1     Running   0          6s,1,1125m,0.02,128,1,,171.6685426235199
280,trainjob-c8c78f57-1c87-4ae3-8aa4-a8d35b0d4ad1-master-0   1/1     Running   0          5s,1,1125m,0.02,128,2,,169.57660293579102
281,trainjob-0b970212-98e5-4e2c-b2c3-aaaefb020823-master-0   1/1     Running   0          5s,1,1125m,0.02,128,3,,168.27793741226196
282,trainjob-ae450ab2-7b77-48fc-b438-c85eac614f90-master-0   1/1     Running   0          8s,1,1125m,0.02,256,1,,159.3906729221344
283,trainjob-56c80e2e-fd52-461a-a246-adb631b08bbd-master-0   1/1     Running   0          5s,1,1125m,0.02,256,2,,166.27121448516846
284,trainjob-6a4eee92-f536-4539-8264-92c0f7a21f26-master-0   1/1     Running   0          7s,1,1125m,0.02,256,3,,158.97940135002136
285,trainjob-90bfb397-9a55-4b23-bf4b-c999fb413eec-master-0   1/1     Running   0          6s,1,1125m,0.02,512,1,,153.0671832561493
286,trainjob-73422d30-b3af-48dd-8a97-819095d8e2ad-master-0   1/1     Running   0          7s,1,1125m,0.02,512,2,,156.60542798042297
287,trainjob-6110ecc5-e609-495c-a44f-7eb73cb6a2b4-master-0   1/1     Running   0          7s,1,1125m,0.02,512,3,,149.78513503074646
288,trainjob-4e8e715f-ddf8-447b-9014-32cbad32e7a0-master-0   1/1     Running   0          7s,1,1125m,0.04,128,1,,166.15595865249634
289,trainjob-137dc3da-8fe0-430c-bea2-eea07077090e-master-0   1/1     Running   0          7s,1,1125m,0.04,128,2,,183.27997255325317
290,trainjob-a6701683-7a2a-45d2-bc76-3fd03528b4d3-master-0   1/1     Running   0          5s,1,1125m,0.04,128,3,,165.0053355693817
291,trainjob-1126a417-8d59-43ee-b379-6ff7c683397f-master-0   1/1     Running   0          6s,1,1125m,0.04,256,1,,158.95783853530884
292,trainjob-9efbbed1-d18a-41bf-b5fe-d618349ebba5-master-0   1/1     Running   0          8s,1,1125m,0.04,256,2,,154.82780838012695
293,trainjob-0814ae27-2a08-49af-a52d-2a414cab6314-master-0   1/1     Running   0          7s,1,1125m,0.04,256,3,,159.19115042686462
294,trainjob-f77d21f9-677f-4081-afd0-50169551149e-master-0   1/1     Running   0          6s,1,1125m,0.04,512,1,,156.91964387893677
295,trainjob-7b2468eb-0b7e-4157-b6d7-d0c5b3ea6795-master-0   1/1     Running   0          5s,1,1125m,0.04,512,2,,153.95943427085876
296,trainjob-0fdd3175-2668-45af-bff3-0c5820b96fb3-master-0   1/1     Running   0          5s,1,1125m,0.04,512,3,,162.67529368400574
297,trainjob-3d1dcbb3-8223-45bb-9fc8-58c330765269-master-0   1/1     Running   0          5s,1,1000m,0.01,128,1,,190.56820917129517
298,trainjob-7ddbc78c-4139-4118-ac2b-350c1bd49da7-master-0   1/1     Running   0          7s,1,1000m,0.01,128,2,,191.00673842430115
299,trainjob-2f847101-e1de-4171-8f48-0e929da8a8cf-master-0   1/1     Running   0          6s,1,1000m,0.01,128,3,,189.6131522655487
300,trainjob-839a685c-d391-49e0-9c9f-66b9470c6fd1-master-0   1/1     Running   0          7s,1,1000m,0.01,256,1,,182.2146635055542
301,trainjob-ae5be157-b49c-45e0-8801-642b38247900-master-0   1/1     Running   0          6s,1,1000m,0.01,256,2,,239.7264587879181
302,trainjob-6d329490-9709-40e1-994b-b4d8ef2d01d1-master-0   1/1     Running   0          7s,1,1000m,0.01,256,3,,181.2884669303894
303,trainjob-4e9ed85a-d964-4ea5-8452-9ca5e24a5573-master-0   1/1     Running   0          6s,1,1000m,0.01,512,1,,181.31798386573792
304,trainjob-d0210855-0fa7-4e1e-b1ea-12f14346172c-master-0   1/1     Running   0          8s,1,1000m,0.01,512,2,,184.19668769836426
305,trainjob-699c2df2-c0dd-478f-9762-48c515a20d10-master-0   1/1     Running   0          7s,1,1000m,0.01,512,3,,175.73284769058228
306,trainjob-72a17b19-3a5c-4b87-b87a-6285a1e6d9fc-master-0   1/1     Running   0          6s,1,1000m,0.02,128,1,,187.59527826309204
307,trainjob-f781fe0d-d684-4990-adda-616394c22353-master-0   1/1     Running   0          8s,1,1000m,0.02,128,2,,204.71030449867249
308,trainjob-544323ad-22f1-43fc-b6c2-423457e1eb1b-master-0   1/1     Running   0          5s,1,1000m,0.02,128,3,,184.7798309326172
309,trainjob-64cf89e7-3689-4b0b-915e-7fcbd8a06eea-master-0   1/1     Running   0          7s,1,1000m,0.02,256,1,,239.53822898864746
310,trainjob-2a28b399-4ea1-40e6-9b96-baecb3c55535-master-0   1/1     Running   0          7s,1,1000m,0.02,256,2,,243.22911977767944
311,trainjob-19cb8cdd-1b9b-40dd-a18f-3580b8762d07-master-0   1/1     Running   0          7s,1,1000m,0.02,256,3,,181.1908242702484
312,trainjob-80213ea0-ee6e-4317-b068-b5b1c9ca11d1-master-0   1/1     Running   0          7s,1,1000m,0.02,512,1,,190.91087460517883
313,trainjob-195884a8-102b-4d1e-91f6-7aecc4dc0ddb-master-0   1/1     Running   0          6s,1,1000m,0.02,512,2,,181.18722105026245
314,trainjob-810319aa-bb73-4c2a-912a-17e531f00f34-master-0   1/1     Running   0          8s,1,1000m,0.02,512,3,,177.91162824630737
315,trainjob-8ef91ae7-0ccf-48c9-bf40-17a154c0108d-master-0   1/1     Running   0          8s,1,1000m,0.04,128,1,,191.7679889202118
316,trainjob-4d4ae6f0-9caa-4ffb-99ca-060aeaeb07b4-master-0   1/1     Running   0          7s,1,1000m,0.04,128,2,,211.79940485954285
317,trainjob-6259cdc6-745a-460b-be3c-23a5a85f8f0c-master-0   1/1     Running   0          7s,1,1000m,0.04,128,3,,189.61570572853088
318,trainjob-3b4b9367-f859-4cc9-8703-e4d3596757ba-master-0   1/1     Running   0          6s,1,1000m,0.04,256,1,,182.51506233215332
319,trainjob-54df3d8f-faa7-47d8-a4a2-5e1ce5ed6ee7-master-0   1/1     Running   0          8s,1,1000m,0.04,256,2,,181.27723240852356
320,trainjob-374f6add-8801-4aaa-b623-f9906c8ea7e1-master-0   1/1     Running   0          7s,1,1000m,0.04,256,3,,180.97015571594238
321,trainjob-edb16b4f-3c07-4742-8a9d-56ec0eda3296-master-0   1/1     Running   0          5s,1,1000m,0.04,512,1,,185.8144884109497
322,trainjob-967c44c1-9de7-46ba-9d7c-c9391aa9fd98-master-0   1/1     Running   0          5s,1,1000m,0.04,512,2,,179.40426111221313
323,trainjob-43eaf17d-c4c7-4d66-b5cf-de5846e82584-master-0   1/1     Running   0          5s,1,1000m,0.04,512,3,,177.38817358016968
