,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time
15,trainjob-6d0fbf52-c76b-499f-b158-5c57d1bb4849-master-0   1/1     Running           0          7s,4,1250m,0.02,512,1,,37.421846866607666
16,trainjob-4478c33e-d2aa-426f-9d10-efd23b903681-master-0   1/1     Running   0          5s,4,1250m,0.02,512,2,,39.80005478858948
17,trainjob-2d5d5915-a1f6-4dcf-994f-dc39e18b28ae-master-0   1/1     Running   0          6s,4,1250m,0.02,512,3,,37.48471140861511
18,trainjob-6a77b36d-434b-4cbe-980e-d64319541667-master-0   1/1     Running           0          7s,4,1250m,0.04,128,1,,40.270230531692505
19,trainjob-d27a6dbb-b3e5-43d4-8ac6-4388216db954-master-0   1/1     Running   0          6s,4,1250m,0.04,128,2,,39.50479292869568
20,trainjob-86de8342-034d-4744-9f93-c841bb1cc938-master-0   1/1     Running   0          6s,4,1250m,0.04,128,3,,39.630699634552
21,trainjob-389331d5-8254-4d3c-8e19-94c02ef5217b-master-0   1/1     Running           0          6s,4,1250m,0.04,256,1,,37.89581489562988
22,trainjob-9b3c99c9-713a-40e2-a241-9b034f7ca85e-master-0   1/1     Running   0          6s,4,1250m,0.04,256,2,,39.55518889427185
23,trainjob-c3e95668-a9ef-4673-836d-013ac10296f9-master-0   1/1     Running   0          6s,4,1250m,0.04,256,3,,38.125680923461914
24,trainjob-921831ae-8fe6-4597-a9a6-7d013478dfed-master-0   1/1     Running           0          7s,4,1250m,0.04,512,1,,38.722426652908325
25,trainjob-c2518e26-460b-450c-b214-81386933252d-master-0   1/1     Running   0          6s,4,1250m,0.04,512,2,,38.303049087524414
26,trainjob-2159c5b0-3046-42eb-be3f-119beb01be03-master-0   1/1     Running   0          6s,4,1250m,0.04,512,3,,38.2908833026886
27,trainjob-f8e9f06c-b688-4585-817e-ac72955f48ee-master-0   1/1     Running           0          7s,4,1125m,0.01,128,1,,45.58303713798523
28,trainjob-017f475a-084a-4649-9721-bb3e15e987cb-master-0   1/1     Running   0          6s,4,1125m,0.01,128,2,,44.604795694351196
29,trainjob-550e4250-0512-40ef-8150-10f5e4f7e903-master-0   1/1     Running   0          6s,4,1125m,0.01,128,3,,45.10497045516968
30,trainjob-87b67040-929e-4d28-954f-054c86c40605-master-0   1/1     Running           0          6s,4,1125m,0.01,256,1,,42.81205153465271
31,trainjob-104ed98d-7f22-45ba-ae22-e046ba72e11e-master-0   1/1     Running           0          6s,4,1125m,0.01,256,2,,43.66448664665222
32,trainjob-f737381c-4cdd-4fba-bd6c-be4bf203d80c-master-0   1/1     Running   0          6s,4,1125m,0.01,256,3,,41.91266179084778
33,trainjob-a69e1992-f371-4ab5-8dfc-0948a073e3e6-master-0   1/1     Running           0          7s,4,1125m,0.01,512,1,,42.1043426990509
34,trainjob-5ec8f535-ed8e-472c-96b1-99db13298866-master-0   1/1     Running   0          7s,4,1125m,0.01,512,2,,43.607882499694824
35,trainjob-ce643d2d-a7d2-4c64-829f-faab3a68ec57-master-0   1/1     Running   0          6s,4,1125m,0.01,512,3,,43.40277624130249
36,trainjob-f1c12f95-e446-4550-96ce-2776e5f377c0-master-0   1/1     Running   0          9s,4,1125m,0.02,128,1,,44.54717230796814
37,trainjob-7a8db345-ef16-45e4-9547-c81131e662ee-master-0   1/1     Running   0          6s,4,1125m,0.02,128,2,,45.82415962219238
38,trainjob-50bb1954-839a-4bc7-8b0b-6731b0e05ba8-master-0   1/1     Running   0          6s,4,1125m,0.02,128,3,,44.77729916572571
39,trainjob-2851e03e-a4c3-4b54-bff2-8e9a6be420b7-master-0   1/1     Running           0          7s,4,1125m,0.02,256,1,,42.45527768135071
40,trainjob-612c0cbf-1b28-4460-b19d-939860f5f01b-master-0   1/1     Running   0          5s,4,1125m,0.02,256,2,,42.8961660861969
41,trainjob-c6428df3-43ca-44bc-9e66-1998ad9963b4-master-0   1/1     Running           0          6s,4,1125m,0.02,256,3,,43.24441313743591
42,trainjob-0a99a908-7dea-440a-beb1-5d84d356e64b-master-0   1/1     Running           0          9s,4,1125m,0.02,512,1,,42.39002323150635
43,trainjob-02ca1a9d-8e89-419b-82ee-4746ac4a14cb-master-0   1/1     Running   0          5s,4,1125m,0.02,512,2,,42.35852861404419
44,trainjob-a3ae210b-6c53-4a3b-82ec-e98c29835084-master-0   1/1     Running   0          6s,4,1125m,0.02,512,3,,41.37748074531555
45,trainjob-e4954486-5702-49c6-a0d7-1a7ac6748809-master-0   1/1     Running           0          6s,4,1125m,0.04,128,1,,44.622639179229736
46,trainjob-46ed71ea-8013-4432-9909-6a9b52ab90f3-master-0   1/1     Running   0          6s,4,1125m,0.04,128,2,,43.80264854431152
47,trainjob-1121dc96-203c-4e92-86e0-a60136de535b-master-0   1/1     Running   0          6s,4,1125m,0.04,128,3,,43.728628635406494
48,trainjob-be723f48-eba4-4222-b409-9eed2e960a59-master-0   1/1     Running           0          6s,4,1125m,0.04,256,1,,40.52847909927368
49,trainjob-89c36f60-f8ae-41d5-8a61-bad43afb6923-master-0   1/1     Running   0          5s,4,1125m,0.04,256,2,,42.50418257713318
50,trainjob-348d6b59-7c10-46a3-95ed-46f70643666f-master-0   1/1     Running   0          6s,4,1125m,0.04,256,3,,41.799909353256226
51,trainjob-9df8bb52-e38a-445c-8017-0590819831af-master-0   1/1     Running           0          6s,4,1125m,0.04,512,1,,41.38349390029907
52,trainjob-529cab6d-acd0-4a0f-af82-cb616344fd1b-master-0   1/1     Running           0          6s,4,1125m,0.04,512,2,,40.916359186172485
53,trainjob-60d356fb-c6ad-460b-a6cf-122b7b68b23b-master-0   1/1     Running           0          5s,4,1125m,0.04,512,3,,41.89962124824524
54,trainjob-076026a9-2599-4145-b181-a71077ce4103-master-0   1/1     Running           0          7s,4,1000m,0.01,128,1,,51.519004821777344
55,trainjob-5cb6a8d7-fa9c-48d4-a0be-dda62781fcdb-master-0   1/1     Running   0          6s,4,1000m,0.01,128,2,,51.006091833114624
56,trainjob-af46103f-6bc7-4601-935a-e4e9c2697418-master-0   1/1     Running   0          6s,4,1000m,0.01,128,3,,51.17239594459534
57,trainjob-721bc1b8-053a-4867-a6a1-4054a4f610e6-master-0   1/1     Running           0          6s,4,1000m,0.01,256,1,,48.45535445213318
58,trainjob-742f1b84-81b7-4335-9621-3631f4cf5220-master-0   1/1     Running   0          6s,4,1000m,0.01,256,2,,48.08798551559448
59,trainjob-6d369bda-4afc-47f1-ba5c-d1eb8d3dc9bc-master-0   1/1     Running   0          6s,4,1000m,0.01,256,3,,46.56072950363159
60,trainjob-787daba5-5ff9-4009-bc8f-c40c777eab7a-master-0   1/1     Running           0          7s,4,1000m,0.01,512,1,,48.99169993400574
61,trainjob-bb0b954f-4ed2-45da-92c0-86ce591bfa95-master-0   1/1     Running   0          6s,4,1000m,0.01,512,2,,48.31306529045105
62,trainjob-2002143b-950f-4e83-9f3e-3825b8ec42c8-master-0   1/1     Running   0          6s,4,1000m,0.01,512,3,,47.21106958389282
63,trainjob-13e1efb9-39b7-4c1b-8ccd-8cdd78798c31-master-0   1/1     Running           0          7s,4,1000m,0.02,128,1,,50.33300256729126
