jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments
trainjob-348d6b59-7c10-46a3-95ed-46f70643666f-master-0   1/1     Running   0          6s,4,1125m,0.04,256,3,
trainjob-9df8bb52-e38a-445c-8017-0590819831af-master-0   1/1     Running           0          6s,4,1125m,0.04,512,1,
trainjob-529cab6d-acd0-4a0f-af82-cb616344fd1b-master-0   1/1     Running           0          6s,4,1125m,0.04,512,2,
trainjob-60d356fb-c6ad-460b-a6cf-122b7b68b23b-master-0   1/1     Running           0          5s,4,1125m,0.04,512,3,
trainjob-076026a9-2599-4145-b181-a71077ce4103-master-0   1/1     Running           0          7s,4,1000m,0.01,128,1,
trainjob-5cb6a8d7-fa9c-48d4-a0be-dda62781fcdb-master-0   1/1     Running   0          6s,4,1000m,0.01,128,2,
trainjob-af46103f-6bc7-4601-935a-e4e9c2697418-master-0   1/1     Running   0          6s,4,1000m,0.01,128,3,
trainjob-721bc1b8-053a-4867-a6a1-4054a4f610e6-master-0   1/1     Running           0          6s,4,1000m,0.01,256,1,
trainjob-742f1b84-81b7-4335-9621-3631f4cf5220-master-0   1/1     Running   0          6s,4,1000m,0.01,256,2,
trainjob-6d369bda-4afc-47f1-ba5c-d1eb8d3dc9bc-master-0   1/1     Running   0          6s,4,1000m,0.01,256,3,
trainjob-787daba5-5ff9-4009-bc8f-c40c777eab7a-master-0   1/1     Running           0          7s,4,1000m,0.01,512,1,
trainjob-bb0b954f-4ed2-45da-92c0-86ce591bfa95-master-0   1/1     Running   0          6s,4,1000m,0.01,512,2,
trainjob-2002143b-950f-4e83-9f3e-3825b8ec42c8-master-0   1/1     Running   0          6s,4,1000m,0.01,512,3,
trainjob-13e1efb9-39b7-4c1b-8ccd-8cdd78798c31-master-0   1/1     Running           0          7s,4,1000m,0.02,128,1,
trainjob-f3629702-8049-45b7-b928-62db633179f7-master-0   1/1     Running   0          6s,4,1000m,0.02,128,2,
trainjob-f8dadf87-88ca-461d-afae-f7606bc92bfd-master-0   1/1     Running   0          5s,4,1000m,0.02,128,3,
