,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time,accuracy
30,trainjob-87b67040-929e-4d28-954f-054c86c40605-master-0   1/1     Running           0          6s,4,1125m,0.01,256,1,,42.81205153465271,86.68000030517578
31,trainjob-104ed98d-7f22-45ba-ae22-e046ba72e11e-master-0   1/1     Running           0          6s,4,1125m,0.01,256,2,,43.66448664665222,87.63999938964844
32,trainjob-f737381c-4cdd-4fba-bd6c-be4bf203d80c-master-0   1/1     Running   0          6s,4,1125m,0.01,256,3,,41.91266179084778,86.76000213623047
33,trainjob-a69e1992-f371-4ab5-8dfc-0948a073e3e6-master-0   1/1     Running           0          7s,4,1125m,0.01,512,1,,42.1043426990509,84.72000122070312
34,trainjob-5ec8f535-ed8e-472c-96b1-99db13298866-master-0   1/1     Running   0          7s,4,1125m,0.01,512,2,,43.607882499694824,85.63999938964844
35,trainjob-ce643d2d-a7d2-4c64-829f-faab3a68ec57-master-0   1/1     Running   0          6s,4,1125m,0.01,512,3,,43.40277624130249,85.91999816894531
36,trainjob-f1c12f95-e446-4550-96ce-2776e5f377c0-master-0   1/1     Running   0          9s,4,1125m,0.02,128,1,,44.54717230796814,87.5999984741211
37,trainjob-7a8db345-ef16-45e4-9547-c81131e662ee-master-0   1/1     Running   0          6s,4,1125m,0.02,128,2,,45.82415962219238,87.76000213623047
38,trainjob-50bb1954-839a-4bc7-8b0b-6731b0e05ba8-master-0   1/1     Running   0          6s,4,1125m,0.02,128,3,,44.77729916572571,87.68000030517578
39,trainjob-2851e03e-a4c3-4b54-bff2-8e9a6be420b7-master-0   1/1     Running           0          7s,4,1125m,0.02,256,1,,42.45527768135071,86.5999984741211
40,trainjob-612c0cbf-1b28-4460-b19d-939860f5f01b-master-0   1/1     Running   0          5s,4,1125m,0.02,256,2,,42.8961660861969,87.0
41,trainjob-c6428df3-43ca-44bc-9e66-1998ad9963b4-master-0   1/1     Running           0          6s,4,1125m,0.02,256,3,,43.24441313743591,86.16000366210938
42,trainjob-0a99a908-7dea-440a-beb1-5d84d356e64b-master-0   1/1     Running           0          9s,4,1125m,0.02,512,1,,42.39002323150635,86.5199966430664
43,trainjob-02ca1a9d-8e89-419b-82ee-4746ac4a14cb-master-0   1/1     Running   0          5s,4,1125m,0.02,512,2,,42.35852861404419,87.12000274658203
44,trainjob-a3ae210b-6c53-4a3b-82ec-e98c29835084-master-0   1/1     Running   0          6s,4,1125m,0.02,512,3,,41.37748074531555,84.31999969482422
45,trainjob-e4954486-5702-49c6-a0d7-1a7ac6748809-master-0   1/1     Running           0          6s,4,1125m,0.04,128,1,,44.622639179229736,86.80000305175781
46,trainjob-46ed71ea-8013-4432-9909-6a9b52ab90f3-master-0   1/1     Running   0          6s,4,1125m,0.04,128,2,,43.80264854431152,86.63999938964844
47,trainjob-1121dc96-203c-4e92-86e0-a60136de535b-master-0   1/1     Running   0          6s,4,1125m,0.04,128,3,,43.728628635406494,86.4800033569336
48,trainjob-be723f48-eba4-4222-b409-9eed2e960a59-master-0   1/1     Running           0          6s,4,1125m,0.04,256,1,,40.52847909927368,84.08000183105469
49,trainjob-89c36f60-f8ae-41d5-8a61-bad43afb6923-master-0   1/1     Running   0          5s,4,1125m,0.04,256,2,,42.50418257713318,83.55999755859375
50,trainjob-348d6b59-7c10-46a3-95ed-46f70643666f-master-0   1/1     Running   0          6s,4,1125m,0.04,256,3,,41.799909353256226,83.68000030517578
51,trainjob-9df8bb52-e38a-445c-8017-0590819831af-master-0   1/1     Running           0          6s,4,1125m,0.04,512,1,,41.38349390029907,84.63999938964844
52,trainjob-529cab6d-acd0-4a0f-af82-cb616344fd1b-master-0   1/1     Running           0          6s,4,1125m,0.04,512,2,,40.916359186172485,86.19999694824219
53,trainjob-60d356fb-c6ad-460b-a6cf-122b7b68b23b-master-0   1/1     Running           0          5s,4,1125m,0.04,512,3,,41.89962124824524,84.27999877929688
54,trainjob-076026a9-2599-4145-b181-a71077ce4103-master-0   1/1     Running           0          7s,4,1000m,0.01,128,1,,51.519004821777344,88.08000183105469
55,trainjob-5cb6a8d7-fa9c-48d4-a0be-dda62781fcdb-master-0   1/1     Running   0          6s,4,1000m,0.01,128,2,,51.006091833114624,88.12000274658203
56,trainjob-af46103f-6bc7-4601-935a-e4e9c2697418-master-0   1/1     Running   0          6s,4,1000m,0.01,128,3,,51.17239594459534,87.5999984741211
57,trainjob-721bc1b8-053a-4867-a6a1-4054a4f610e6-master-0   1/1     Running           0          6s,4,1000m,0.01,256,1,,48.45535445213318,87.08000183105469
58,trainjob-742f1b84-81b7-4335-9621-3631f4cf5220-master-0   1/1     Running   0          6s,4,1000m,0.01,256,2,,48.08798551559448,86.76000213623047
59,trainjob-6d369bda-4afc-47f1-ba5c-d1eb8d3dc9bc-master-0   1/1     Running   0          6s,4,1000m,0.01,256,3,,46.56072950363159,85.31999969482422
60,trainjob-787daba5-5ff9-4009-bc8f-c40c777eab7a-master-0   1/1     Running           0          7s,4,1000m,0.01,512,1,,48.99169993400574,86.16000366210938
61,trainjob-bb0b954f-4ed2-45da-92c0-86ce591bfa95-master-0   1/1     Running   0          6s,4,1000m,0.01,512,2,,48.31306529045105,86.4000015258789
62,trainjob-2002143b-950f-4e83-9f3e-3825b8ec42c8-master-0   1/1     Running   0          6s,4,1000m,0.01,512,3,,47.21106958389282,87.0
63,trainjob-13e1efb9-39b7-4c1b-8ccd-8cdd78798c31-master-0   1/1     Running           0          7s,4,1000m,0.02,128,1,,50.33300256729126,87.72000122070312
64,trainjob-f3629702-8049-45b7-b928-62db633179f7-master-0   1/1     Running   0          6s,4,1000m,0.02,128,2,,50.838512659072876,87.91999816894531
65,trainjob-f8dadf87-88ca-461d-afae-f7606bc92bfd-master-0   1/1     Running   0          5s,4,1000m,0.02,128,3,,50.4004647731781,87.55999755859375
66,trainjob-430383e0-3f88-43d4-93c6-7dc052c65c42-master-0   1/1     Running           0          6s,4,1000m,0.02,256,1,,48.11285161972046,86.72000122070312
67,trainjob-35872e54-1a38-4548-a86d-dc854be97c43-master-0   1/1     Running   0          6s,4,1000m,0.02,256,2,,48.174856662750244,88.19999694824219
